Processos,16 tasks,32 tasks
2,1481.821085,1483.372097
4,1018.50983,1108.801557
6,654.311851,685.058681
8,495.004357,619.153092
10,376.048209,384.668629
12,308.864611,363.707161
14,383.676729,309.89134
16,249.269415,240.670244
18,231.224185,238.744289
20,211.178638,278.318335
22,206.02379,195.587299
24,198.515696,173.136513
26,170.753061,163.851039
28,176.478718,155.477711
30,149.996779,127.810688
32,154.061292,207.310307
34,142.479687,134.637455
36,122.065283,110.83042
38,128.285017,115.22696
40,135.299562,114.175493
42,123.165591,111.312293
44,127.059261,104.690249
46,108.164543,99.817657
48,100.188724,97.563386
50,95.420137,93.831044
52,101.714812,92.219971
54,89.762925,88.743236
56,115.513272,84.012628
58,104.047195,80.252032
60,91.720928,81.660719
62,92.446747,83.635433
64,79.422633,74.18355
